cliente_id,nombre,apellido,email,genero,fecha_registro,region,pais,edad,ingreso_mensual,activo
1,Felipe,Díaz,felipe.díaz1@mail.cl,M,2025-03-13,Coquimbo,Chile,56.0,637337.0,True
2,Felipe,Morales,felipe.morales2@mail.cl,Masculino,2026-01-04,RM,Chile,20.0,829365.0,True
3,María,Silva,maría.silva3@mail.cl,Femenino,2026-01-02,RM,Chile,38.0,1762752.0,False
4,Francisca,Soto,francisca.soto4@mail.cl,M,2025-02-18,Coquimbo,Chile,59.0,1698079.0,False
5,Carolina,Valenzuela,carolina.valenzuela5@mail.cl,F,2025-02-20,RM,Chile,69.0,1055839.0,True
6,Pedro,Pérez,pedro.pérez6@mail.cl,Masculino,2025-11-25,RM,Chile,21.0,1819512.0,False
7,Constanza,Muñoz,constanza.muñoz7@mail.cl,F,2025-02-22,RM,Chile,45.0,1406606.0,False
8,Felipe,Araya,felipe.araya8@mail.cl,M,2026-01-03,,Chile,53.0,960337.0,False
9,Camila,Muñoz,camila.muñoz9@mail.cl,F,2025-04-16,Coquimbo,Chile,46.0,1987550.0,False
10,Francisca,Araya,francisca.araya10@mail.cl,F,2025-09-27,Valparaíso,Chile,,987879.0,False
11,Felipe,Araya,felipe.araya11@mail.cl,M,2026-01-21,RM,Chile,35.0,1107086.0,True
12,Daniela,López,daniela.lópez12@mail.cl,M,2025-02-10,RM,Chile,62.0,1925472.0,True
13,Felipe,Martínez,felipe.martínez13@mail.cl,Femenino,2025-05-16,RM,Chile,28.0,980754.0,True
14,Daniela,Rojas,daniela.rojas14@mail.cl,Masculino,2025-09-18,Antofagasta,Chile,58.0,2256187.0,True
15,Sebastián,Silva,sebastián.silva15@mail.cl,Femenino,2025-02-17,RM,Chile,41.0,2196548.0,True
16,Carolina,Silva,carolina.silva16@mail.cl,F,2026-01-01,RM,Chile,64.0,2021101.0,True
17,Juan,Pérez,juan.pérez17@mail.cl,F,2025-12-25,RM,Chile,,1766702.0,False
18,Francisca,Araya,francisca.araya18@mail.cl,M,2025-12-18,Valparaíso,Chile,69.0,1733916.0,False
19,Camila,Espinoza,camila.espinoza19@mail.cl,M,2025-08-25,Coquimbo,Chile,46.0,1713475.0,True
20,Felipe,Morales,felipe.morales20@mail.cl,Masculino,2025-03-07,Valparaíso,Chile,23.0,2430267.0,False
21,Carolina,Díaz,carolina.díaz21@mail.cl,F,2026-01-26,RM,Chile,42.0,1068550.0,False
22,Juan,González,juan.gonzález22@mail.cl,M,2025-05-01,Biobío,Chile,58.0,902690.0,True
23,Valentina,Silva,valentina.silva23@mail.cl,Masculino,2025-06-14,Valparaíso,Chile,59.0,1414091.0,False
24,Andrés,Soto,andrés.soto24@mail.cl,Femenino,2025-08-21,Coquimbo,Chile,66.0,539353.0,False
25,Carolina,Espinoza,carolina.espinoza25@mail.cl,Masculino,2025-04-23,RM,Chile,34.0,1270746.0,True
26,María,Muñoz,maría.muñoz26@mail.cl,Femenino,2025-08-12,Antofagasta,Chile,36.0,677789.0,False
27,Diego,Araya,diego.araya27@mail.cl,F,2026-01-23,Valparaíso,Chile,28.0,609751.0,True
28,Juan,Valenzuela,juan.valenzuela28@mail.cl,F,2025-04-08,Valparaíso,Chile,28.0,610078.0,False
29,Juan,Martínez,juan.martínez29@mail.cl,Femenino,2025-12-15,Antofagasta,Chile,,1410681.0,True
30,Pedro,Díaz,pedro.díaz30@mail.cl,Femenino,2025-05-08,Coquimbo,Chile,57.0,1848224.0,True
31,Carolina,Martínez,carolina.martínez31@mail.cl,M,2025-10-25,RM,Chile,33.0,1907321.0,False
32,Sebastián,Díaz,sebastián.díaz32@mail.cl,Femenino,2025-10-31,Araucanía,Chile,22.0,617796.0,False
33,Andrés,Contreras,andrés.contreras33@mail.cl,M,2025-05-27,Valparaíso,Chile,20.0,2077363.0,False
34,Valentina,Silva,valentina.silva34@mail.cl,M,2025-03-16,Araucanía,Chile,53.0,1001157.0,False
35,Camila,Espinoza,camila.espinoza35@mail.cl,Masculino,2025-04-09,Araucanía,Chile,35.0,1202335.0,False
36,María,Muñoz,maría.muñoz36@mail.cl,F,2025-06-18,RM,Chile,21.0,2358336.0,False
37,Diego,Díaz,diego.díaz37@mail.cl,Femenino,2025-05-15,Valparaíso,Chile,50.0,756687.0,False
38,Andrés,Rojas,andrés.rojas38@mail.cl,F,2025-08-26,Coquimbo,Chile,55.0,634508.0,True
39,Valentina,Silva,valentina.silva39@mail.cl,Masculino,2025-10-04,Coquimbo,Chile,45.0,1918175.0,True
40,Diego,Araya,diego.araya40@mail.cl,M,2025-01-04,RM,Chile,66.0,1130271.0,True
41,Carolina,Araya,carolina.araya41@mail.cl,F,2026-01-21,Antofagasta,Chile,58.0,2368836.0,False
42,Rodrigo,González,rodrigo.gonzález42@mail.cl,F,2026-01-03,Araucanía,Chile,,565726.0,True
43,Diego,Contreras,diego.contreras43@mail.cl,M,2025-05-08,,Chile,59.0,1013758.0,False
44,Francisca,Rojas,francisca.rojas44@mail.cl,Femenino,2025-04-24,Valparaíso,Chile,39.0,1566646.0,False
45,Andrés,López,andrés.lópez45@mail.cl,F,2025-04-14,Valparaíso,Chile,60.0,2282005.0,False
46,Felipe,Flores,felipe.flores46@mail.cl,F,2026-01-03,RM,Chile,41.0,1164076.0,False
47,Francisca,Contreras,francisca.contreras47@mail.cl,M,2025-01-20,Valparaíso,Chile,63.0,2142895.0,False
48,Carolina,Rojas,carolina.rojas48@mail.cl,Masculino,2025-12-20,RM,Chile,,1149150.0,False
49,Pedro,Martínez,pedro.martínez49@mail.cl,F,2025-05-05,Biobío,Chile,39.0,1579600.0,False
50,Francisca,Soto,francisca.soto50@mail.cl,Masculino,2025-04-11,Coquimbo,Chile,61.0,2252683.0,True
51,Felipe,Díaz,felipe.díaz51@mail.cl,F,2025-12-16,Coquimbo,Chile,57.0,573523.0,False
52,Rodrigo,Muñoz,rodrigo.muñoz52@mail.cl,Femenino,2025-05-27,Biobío,Chile,36.0,528251.0,False
53,Felipe,López,felipe.lópez53@mail.cl,M,2025-11-14,Biobío,Chile,26.0,600235.0,True
54,Juan,López,juan.lópez54@mail.cl,F,2025-10-17,RM,Chile,65.0,1568632.0,False
55,Rodrigo,Pérez,rodrigo.pérez55@mail.cl,M,2026-01-07,Valparaíso,Chile,22.0,2186293.0,True
56,Felipe,Rojas,felipe.rojas56@mail.cl,Femenino,2025-03-27,RM,Chile,31.0,509435.0,True
57,Juan,Espinoza,juan.espinoza57@mail.cl,F,2026-01-05,Coquimbo,Chile,43.0,1276665.0,False
58,Diego,Contreras,diego.contreras58@mail.cl,Femenino,2025-08-10,Valparaíso,Chile,27.0,2283541.0,True
59,Camila,Muñoz,camila.muñoz59@mail.cl,Femenino,2025-09-07,Araucanía,Chile,49.0,691232.0,False
60,Diego,Flores,diego.flores60@mail.cl,Femenino,2025-12-02,Valparaíso,Chile,,549115.0,False
61,Andrés,Díaz,andrés.díaz61@mail.cl,Femenino,2025-06-12,Valparaíso,Chile,50.0,1225948.0,True
62,Andrés,Pérez,andrés.pérez62@mail.cl,Femenino,2025-06-17,Antofagasta,Chile,61.0,651836.0,True
63,Carolina,Valenzuela,carolina.valenzuela63@mail.cl,F,2026-02-19,RM,Chile,43.0,1049639.0,True
64,Francisca,López,francisca.lópez64@mail.cl,F,2025-04-25,RM,Chile,21.0,582745.0,True
65,María,Flores,maría.flores65@mail.cl,Masculino,2026-01-04,Coquimbo,Chile,53.0,1330857.0,True
66,Sebastián,Silva,sebastián.silva66@mail.cl,Femenino,2025-04-09,Coquimbo,Chile,35.0,570640.0,True
67,Daniela,Contreras,daniela.contreras67@mail.cl,F,2025-09-25,Coquimbo,Chile,30.0,1198646.0,True
68,Pedro,Martínez,pedro.martínez68@mail.cl,F,2026-01-30,Coquimbo,Chile,42.0,1468021.0,True
69,Andrés,Rojas,andrés.rojas69@mail.cl,M,2025-08-21,,Chile,26.0,1607739.0,False
70,Camila,Rojas,camila.rojas70@mail.cl,F,2025-03-10,RM,Chile,42.0,1166490.0,True
71,Camila,Pérez,camila.pérez71@mail.cl,Masculino,2025-02-08,RM,Chile,59.0,1045977.0,True
72,Constanza,Valenzuela,constanza.valenzuela72@mail.cl,F,2025-08-03,Coquimbo,Chile,28.0,2079665.0,True
73,Carolina,Martínez,carolina.martínez73@mail.cl,F,2026-01-17,RM,Chile,24.0,1832397.0,True
74,Daniela,López,daniela.lópez74@mail.cl,M,2026-01-26,RM,Chile,46.0,2067908.0,False
75,Pedro,Silva,pedro.silva75@mail.cl,Femenino,2026-01-22,Biobío,Chile,24.0,1192440.0,True
76,Camila,Díaz,camila.díaz76@mail.cl,F,2025-10-02,Biobío,Chile,56.0,2191738.0,False
77,Francisca,Rojas,francisca.rojas77@mail.cl,Masculino,2025-06-22,RM,Chile,45.0,1290141.0,False
78,Camila,Araya,camila.araya78@mail.cl,Femenino,2025-12-27,Valparaíso,Chile,20.0,2050284.0,False
79,Constanza,Martínez,constanza.martínez79@mail.cl,Masculino,2025-11-08,Coquimbo,Chile,23.0,,False
80,Rodrigo,Flores,rodrigo.flores80@mail.cl,M,2025-03-21,Coquimbo,Chile,28.0,1231899.0,True
81,Camila,Rojas,camila.rojas81@mail.cl,Masculino,2026-01-18,RM,Chile,66.0,2373421.0,True
82,Juan,Pérez,juan.pérez82@mail.cl,F,2025-05-24,Valparaíso,Chile,28.0,1365291.0,False
83,Daniela,Soto,daniela.soto83@mail.cl,Femenino,2025-01-08,RM,Chile,53.0,1872249.0,False
84,Francisca,Araya,francisca.araya84@mail.cl,F,2025-12-23,Araucanía,Chile,44.0,2251541.0,True
85,Juan,Martínez,juan.martínez85@mail.cl,M,2025-08-08,RM,Chile,30.0,1713997.0,True
86,Rodrigo,Soto,rodrigo.soto86@mail.cl,F,2025-07-16,Valparaíso,Chile,19.0,1483049.0,False
87,Constanza,Muñoz,constanza.muñoz87@mail.cl,Masculino,2025-04-29,,Chile,18.0,2173361.0,False
88,Juan,Morales,juan.morales88@mail.cl,M,2025-08-05,Araucanía,Chile,44.0,1504208.0,True
89,Juan,Muñoz,juan.muñoz89@mail.cl,M,2025-11-07,Antofagasta,Chile,34.0,1215460.0,True
90,Diego,Soto,diego.soto90@mail.cl,Masculino,2025-02-22,Araucanía,Chile,27.0,2257266.0,True
91,Diego,Espinoza,diego.espinoza91@mail.cl,M,2025-02-20,RM,Chile,21.0,1046237.0,True
92,Juan,Silva,juan.silva92@mail.cl,Femenino,2025-04-05,RM,Chile,43.0,1008153.0,False
93,Valentina,Soto,valentina.soto93@mail.cl,Masculino,2025-09-25,Biobío,Chile,61.0,2179748.0,False
94,Constanza,Morales,constanza.morales94@mail.cl,M,2025-09-12,RM,Chile,32.0,501252.0,True
95,Constanza,Muñoz,constanza.muñoz95@mail.cl,Masculino,2025-07-11,RM,Chile,55.0,1263185.0,False
96,María,Espinoza,maría.espinoza96@mail.cl,Masculino,2025-11-04,Coquimbo,Chile,50.0,2432247.0,True
97,Carolina,Espinoza,carolina.espinoza97@mail.cl,Masculino,2025-03-22,Araucanía,Chile,,2056617.0,False
98,Juan,López,juan.lópez98@mail.cl,M,2025-03-10,Araucanía,Chile,19.0,1094124.0,False
99,Andrés,Morales,andrés.morales99@mail.cl,Femenino,2025-04-21,RM,Chile,33.0,702846.0,True
100,Valentina,Silva,valentina.silva100@mail.cl,Femenino,2025-07-03,Coquimbo,Chile,49.0,1912290.0,True
101,Rodrigo,Muñoz,rodrigo.muñoz101@mail.cl,M,2025-10-04,,Chile,45.0,2438089.0,True
102,Valentina,Pérez,valentina.pérez102@mail.cl,F,2025-08-21,RM,Chile,63.0,551745.0,True
103,Constanza,López,constanza.lópez103@mail.cl,M,2025-10-09,Biobío,Chile,39.0,1427982.0,False
104,Constanza,Morales,constanza.morales104@mail.cl,Masculino,2025-12-03,RM,Chile,18.0,690471.0,True
105,Pedro,Flores,pedro.flores105@mail.cl,Femenino,2025-05-07,Antofagasta,Chile,,889593.0,False
106,Felipe,Espinoza,felipe.espinoza106@mail.cl,Femenino,2025-06-03,RM,Chile,68.0,2471206.0,True
107,Felipe,Espinoza,felipe.espinoza107@mail.cl,Masculino,2025-10-01,Coquimbo,Chile,52.0,1321106.0,True
108,Sebastián,Contreras,sebastián.contreras108@mail.cl,M,2025-02-08,RM,Chile,56.0,1948021.0,False
109,Constanza,Araya,constanza.araya109@mail.cl,M,2026-01-20,,Chile,27.0,967010.0,True
110,Rodrigo,Muñoz,rodrigo.muñoz110@mail.cl,Masculino,2025-02-03,Coquimbo,Chile,57.0,581264.0,False
111,Pedro,López,pedro.lópez111@mail.cl,M,2025-06-29,Valparaíso,Chile,51.0,1412826.0,False
112,Andrés,Flores,andrés.flores112@mail.cl,F,2025-10-16,RM,Chile,38.0,616421.0,False
113,Felipe,Díaz,felipe.díaz113@mail.cl,F,2025-11-14,Biobío,Chile,,1707094.0,True
114,Felipe,Rojas,felipe.rojas114@mail.cl,Masculino,2026-02-21,Araucanía,Chile,48.0,1040677.0,False
115,Camila,Araya,camila.araya115@mail.cl,Masculino,2026-01-06,Araucanía,Chile,47.0,1530117.0,True
116,Constanza,Martínez,constanza.martínez116@mail.cl,F,2025-01-26,RM,Chile,61.0,637541.0,False
117,Valentina,Díaz,valentina.díaz117@mail.cl,Masculino,2025-01-20,RM,Chile,64.0,1354016.0,False
118,Constanza,Soto,constanza.soto118@mail.cl,M,2025-12-22,RM,Chile,20.0,782272.0,False
119,María,Silva,maría.silva119@mail.cl,F,2025-05-18,Araucanía,Chile,30.0,505287.0,False
120,Camila,González,camila.gonzález120@mail.cl,Masculino,2025-09-30,RM,Chile,,2152631.0,False
121,Felipe,Rojas,felipe.rojas121@mail.cl,F,2025-03-10,Biobío,Chile,61.0,1853649.0,False
122,Diego,Silva,diego.silva122@mail.cl,Masculino,2026-01-12,RM,Chile,18.0,2209351.0,False
123,Valentina,Araya,valentina.araya123@mail.cl,Femenino,2025-09-24,Biobío,Chile,31.0,1448027.0,False
124,Pedro,Pérez,pedro.pérez124@mail.cl,M,2026-01-27,Valparaíso,Chile,21.0,1696632.0,True
125,Francisca,Martínez,francisca.martínez125@mail.cl,F,2026-01-07,Valparaíso,Chile,49.0,1691602.0,True
126,Valentina,González,valentina.gonzález126@mail.cl,Masculino,2025-06-02,RM,Chile,64.0,938774.0,False
127,Constanza,Pérez,constanza.pérez127@mail.cl,Femenino,2025-02-08,RM,Chile,23.0,1772386.0,True
128,Pedro,Silva,pedro.silva128@mail.cl,F,2025-01-15,Antofagasta,Chile,50.0,1607955.0,False
129,Felipe,Morales,felipe.morales129@mail.cl,Femenino,2026-01-25,RM,Chile,,1580730.0,True
130,Juan,Espinoza,juan.espinoza130@mail.cl,Femenino,2025-01-10,Coquimbo,Chile,,1723520.0,False
131,Valentina,Flores,valentina.flores131@mail.cl,Masculino,2025-08-04,Valparaíso,Chile,32.0,2305468.0,False
132,Diego,Flores,diego.flores132@mail.cl,Masculino,2025-06-22,Valparaíso,Chile,48.0,1780626.0,True
133,Camila,Díaz,camila.díaz133@mail.cl,F,2025-03-10,Biobío,Chile,27.0,1526919.0,False
134,Valentina,Silva,valentina.silva134@mail.cl,Masculino,2025-10-29,Valparaíso,Chile,43.0,1755564.0,False
135,Constanza,Muñoz,constanza.muñoz135@mail.cl,M,2025-04-14,Antofagasta,Chile,29.0,1195275.0,False
136,Camila,Pérez,camila.pérez136@mail.cl,Femenino,2025-05-07,RM,Chile,45.0,2269246.0,False
137,Sebastián,Soto,sebastián.soto137@mail.cl,Masculino,2025-10-23,Biobío,Chile,28.0,1169078.0,True
138,Constanza,Pérez,constanza.pérez138@mail.cl,M,2025-07-01,Biobío,Chile,18.0,1648734.0,False
139,Felipe,Rojas,felipe.rojas139@mail.cl,Femenino,2025-11-05,RM,Chile,69.0,1325656.0,True
140,Francisca,Martínez,francisca.martínez140@mail.cl,Masculino,2025-01-25,Antofagasta,Chile,55.0,1163937.0,True
141,María,Morales,maría.morales141@mail.cl,F,2026-01-11,RM,Chile,68.0,1271253.0,False
142,Sebastián,Contreras,sebastián.contreras142@mail.cl,Femenino,2025-12-10,RM,Chile,46.0,594270.0,True
143,Valentina,López,valentina.lópez143@mail.cl,Femenino,2025-02-18,RM,Chile,37.0,519816.0,True
144,Camila,Soto,camila.soto144@mail.cl,F,2025-07-08,RM,Chile,24.0,1230880.0,False
145,Rodrigo,Espinoza,rodrigo.espinoza145@mail.cl,Masculino,2025-07-30,RM,Chile,47.0,1608252.0,True
146,Rodrigo,Flores,rodrigo.flores146@mail.cl,F,2026-01-19,RM,Chile,31.0,1324690.0,True
147,María,Muñoz,maría.muñoz147@mail.cl,F,2025-04-24,Coquimbo,Chile,68.0,2454622.0,False
148,Juan,Silva,juan.silva148@mail.cl,M,2025-05-11,RM,Chile,27.0,2466034.0,False
149,María,Araya,maría.araya149@mail.cl,M,2025-10-15,Valparaíso,Chile,46.0,1658151.0,True
150,Sebastián,Contreras,sebastián.contreras150@mail.cl,Masculino,2025-09-12,RM,Chile,64.0,962052.0,True
151,Pedro,González,pedro.gonzález151@mail.cl,Femenino,2025-10-18,RM,Chile,31.0,1230399.0,False
152,Constanza,Morales,constanza.morales152@mail.cl,Femenino,2025-06-14,RM,Chile,31.0,1268734.0,True
153,María,Contreras,maría.contreras153@mail.cl,F,2025-05-31,Biobío,Chile,65.0,1715868.0,True
154,Camila,Flores,camila.flores154@mail.cl,Femenino,2025-10-30,Valparaíso,Chile,28.0,1127433.0,True
155,María,Rojas,maría.rojas155@mail.cl,Masculino,2025-01-20,Valparaíso,Chile,55.0,2205215.0,False
156,Sebastián,Muñoz,sebastián.muñoz156@mail.cl,M,2025-12-08,Biobío,Chile,34.0,1805289.0,False
157,Daniela,Morales,daniela.morales157@mail.cl,F,2025-08-12,Coquimbo,Chile,68.0,1576432.0,False
158,Sebastián,Silva,sebastián.silva158@mail.cl,F,2025-12-25,RM,Chile,39.0,2465290.0,False
159,Camila,López,camila.lópez159@mail.cl,F,2026-01-02,RM,Chile,28.0,1866853.0,False
160,Diego,López,diego.lópez160@mail.cl,Femenino,2025-02-03,Coquimbo,Chile,42.0,2194693.0,False
